Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,162.88,-105.2,180,top
C2,100n,C_0402_1005Metric,165.75,-96.32,-90,top
C3,100n,C_0402_1005Metric,156.77,-93.25,0,top
C4,100n,C_0402_1005Metric,153.8,-96,90,top
C5,10u,C_0603_1608Metric,167.25,-95.5,-90,top
C6,10n,C_0402_1005Metric,152.77,-100.675,180,top
C7,1u,C_0402_1005Metric,151.02,-102.25,180,top
C8,1u,C_0402_1005Metric,151.02,-103.75,180,top
C9,100n,C_0402_1005Metric,153.25,-99.5,180,top
C10,10p,C_0402_1005Metric,151.25,-95.775,90,top
C11,10p,C_0402_1005Metric,151.25,-97.77,-90,top
C12,22u,C_0805_2012Metric,174,-88.5,180,top
C13,22u,C_0805_2012Metric,172.845,-84.33,-90,top
C17,100n,C_0402_1005Metric,160.44,-89.75,0,top
C18,100n,C_0402_1005Metric,163.94,-89.75,180,top
C19,10u,C_0603_1608Metric,164.5,-91.25,180,top
C20,2.2n,C_0402_1005Metric,173.5,-104.7,90,top
C21,4.7p,C_0402_1005Metric,175.25,-104.7,90,top
C22,1.5p,C_0402_1005Metric,179.27,-101.28,180,top
C23,1p,C_0402_1005Metric,179.25,-102.53,180,top
C24,10n,C_0402_1005Metric,170.77,-98.78,0,top
C25,10n,C_0402_1005Metric,173.5,-100.8,-90,top
C26,10n,C_0402_1005Metric,169.37,-105.28,0,top
C27,10u,C_0603_1608Metric,171.15,-97.4,0,top
C28,33n,C_0402_1005Metric,168.73,-98.78,180,top
C29,10p,C_0402_1005Metric,170.63,-106.78,180,top
C30,10p,C_0402_1005Metric,173.02,-106.78,0,top
C31,2.2u,C_0402_1005Metric,157.47,-110.75,180,top
C32,100n,C_0402_1005Metric,157.47,-109.5,180,top
D1,RED,LED_0603_1608Metric,170.595,-84.0675,90,top
FB1,120R,L_0603_1608Metric,153,-102.9625,-90,top
J1,920-A52A2021S10106,920-A52A2021S10106,181.3,-95.005,90,top
J2,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,173.75,-72,180,top
J3,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,146.25,-110.8,-90,top
J5,DS1139-06-08SS4BSR,DS1139-06-08SS4BSR,159.55,-120.0775,0,top
L1,2.7n,L_0402_1005Metric,177.5,-103.015,-90,top
L2,8.2n,L_0402_1005Metric,175.265,-102.53,0,top
L3,3.9n,L_0402_1005Metric,175.265,-101.28,0,top
R1,10k,R_0402_1005Metric,151.66,-91.4,0,top
R2,1.5k,R_0402_1005Metric,170.05,-94.49,-90,top
R3,1.5k,R_0402_1005Metric,170.345,-86.77,90,top
R6,22k,R_0402_1005Metric,172.99,-98.78,0,top
R7,1.5k,R_0402_1005Metric,156.76,-107,0,top
R8,1.5k,R_0402_1005Metric,155.75,-108.25,180,top
R9,1.5k,R_0402_1005Metric,159.77,-107,180,top
R10,1.5k,R_0402_1005Metric,160.75,-108.25,0,top
SW1,SSSS811101,SSSS811101,145.87,-89.85,-90,top
U1,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,159.8375,-99.3,0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,177.845,-82.88,-90,top
U4,L80RE-M37,Quectel_L80-R,159.15,-79.75,90,top
U5,NRF24L01P-R,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,170.0625,-102.03,0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,148.65,-96.69,-90,top
Y2,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,171.9,-109.13,0,top
